lsoa21cd,lsoa21nm,wd22cd,wd22nm,lad22cd,lad22nm
E01004861,Bolton 033A,E05000655,Farnworth,E08000001,Bolton
E01004912,Bolton 024B,E05000664,Little Lever and Darcy Lever,E08000001,Bolton
E01004913,Bolton 024C,E05000664,Little Lever and Darcy Lever,E08000001,Bolton
E01004914,Bolton 024D,E05000664,Little Lever and Darcy Lever,E08000001,Bolton
E01004915,Bolton 024E,E05000664,Little Lever and Darcy Lever,E08000001,Bolton
E01004916,Bolton 024F,E05000664,Little Lever and Darcy Lever,E08000001,Bolton
E01004917,Bolton 019F,E05000664,Little Lever and Darcy Lever,E08000001,Bolton
E01004918,Bolton 024G,E05000664,Little Lever and Darcy Lever,E08000001,Bolton
E01004919,Bolton 012D,E05000666,Smithills,E08000001,Bolton
E01004920,Bolton 012E,E05000666,Smithills,E08000001,Bolton
E01004921,Bolton 008C,E05000666,Smithills,E08000001,Bolton
E01004922,Bolton 015E,E05000666,Smithills,E08000001,Bolton
E01004923,Bolton 018E,E05000666,Smithills,E08000001,Bolton
E01004924,Bolton 008D,E05000666,Smithills,E08000001,Bolton
E01004925,Bolton 008E,E05000666,Smithills,E08000001,Bolton
E01004926,Bolton 010B,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004927,Bolton 010C,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004928,Bolton 017C,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004929,Bolton 010D,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004930,Bolton 017D,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004931,Bolton 017E,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004932,Bolton 017F,E05000667,Tonge with the Haulgh,E08000001,Bolton
E01004933,Bolton 035A,E05000669,Westhoughton South,E08000001,Bolton
E01004934,Bolton 035B,E05000669,Westhoughton South,E08000001,Bolton
E01004935,Bolton 035C,E05000669,Westhoughton South,E08000001,Bolton
E01004936,Bolton 031C,E05000669,Westhoughton South,E08000001,Bolton
E01004937,Bolton 035D,E05000669,Westhoughton South,E08000001,Bolton
E01004938,Bolton 031D,E05000669,Westhoughton South,E08000001,Bolton
